resource,spp.group
Crane,bird
Ducks,bird
Geese,bird
Owl,bird
Seabirds & Loons,bird
Shorebirds,bird
Swan,bird
Unknown Other Birds,bird
Upland Game Birds,bird
Crane Eggs,bird
Duck Eggs,bird
Geese Eggs,bird
Seabird & Loon Eggs,bird
Shorebird Eggs,bird
Swan Eggs,bird
Unknown Eggs,bird
Upland Game Bird Eggs,bird
Blackfish,freshwater-anadromous fish
Burbot,freshwater-anadromous fish
Char,freshwater-anadromous fish
Grayling,freshwater-anadromous fish
Lamprey,freshwater-anadromous fish
Pike,freshwater-anadromous fish
Sheefish,freshwater-anadromous fish
Sturgeon,freshwater-anadromous fish
Sucker,freshwater-anadromous fish
Trout,freshwater-anadromous fish
Whitefish,freshwater-anadromous fish
Landlocked Salmon,freshwater-anadromous fish
Beaver,land mammal
Bison,land mammal
Black Bear,land mammal
Brown Bear,land mammal
Caribou,land mammal
Cattle - Feral,land mammal
Coyote,land mammal
Dall Sheep,land mammal
Deer,land mammal
Elk,land mammal
Fox,land mammal
Goat,land mammal
Hare,land mammal
Land Otter,land mammal
Lynx,land mammal
Marmot,land mammal
Marten,land mammal
Mink,land mammal
Moose,land mammal
Muskox,land mammal
Muskrat,land mammal
Porcupine,land mammal
Rabbit - Feral,land mammal
Reindeer - Feral,land mammal
Squirrel,land mammal
Unknown Large Land Mammal,land mammal
Unknown Small Land Mammals/Furbearers,land mammal
Weasel,land mammal
Wolf,land mammal
Wolverine,land mammal
Seaweed/Kelp,marine algae
Herring,marine fish
Herring Roe,marine fish
Cod,marine fish
Flounder,marine fish
Greenling,marine fish
Halibut,marine fish
Prowfish,marine fish
Rockfish,marine fish
Sablefish (black cod),marine fish
Skates,marine fish
Sole,marine fish
Wolffish,marine fish
Wrymouth,marine fish
Blenny,marine fish
Shark,marine fish
Tuna/Mackerel,marine fish
Abalone,marine invertebrate
"Chitons (bidarkis, gumboots)",marine invertebrate
Clams,marine invertebrate
Cockles,marine invertebrate
Crabs,marine invertebrate
Geoducks,marine invertebrate
Jingles,marine invertebrate
Limpets,marine invertebrate
Mussels,marine invertebrate
Octopus,marine invertebrate
Oyster,marine invertebrate
Scallops,marine invertebrate
Sea Cucumber,marine invertebrate
Sea Urchin,marine invertebrate
Shrimp,marine invertebrate
Snails,marine invertebrate
Squid,marine invertebrate
Starfish,marine invertebrate
Unknown Marine Invertebrates,marine invertebrate
Whelk,marine invertebrate
Porpoise,marine mammal
Sea Otter,marine mammal
Seal,marine mammal
Steller Sea Lion,marine mammal
Unknown Marine Mammals,marine mammal
Walrus,marine mammal
Whale,marine mammal
Coal,other
Spawnouts,other
Bass,other fish
Eel,other fish
Perch,other fish
Sculpin,other fish
Smelt,other fish
Stickleback (needlefish),other fish
Unknown Non-Salmon Fish,other fish
Chinook Salmon,salmon
Chum Salmon,salmon
Coho Salmon,salmon
Pink Salmon,salmon
Salmon Roe,salmon
Sockeye Salmon,salmon
Unknown Salmon,salmon
Berries,terrestrial plant
Plants/Greens/Mushrooms,terrestrial plant
Wood,terrestrial plant
